"NGA","Polity","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note"
"Latium","ItStPet","Postal stations","0","","","","simple","simple",""
"Latium","ItStPet","General postal service","0","","","","simple","simple",""
"Latium","ItStPet","Nonwritten records","1","","","","simple","simple",""
"Latium","ItStPet","Written records","1","","","","simple","simple",""
"Latium","ItStPet","Script","1","","","","simple","simple",""
"Latium","ItStPet","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItStPet","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItStPet","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItStPet","Calendar","1","","","","simple","simple",""
"Latium","ItStPet","Sacred Texts","1","","","","simple","simple",""
"Latium","ItStPet","Religious literature","1","","","","simple","simple",""
"Latium","ItStPet","Practical literature","1","","","","simple","simple",""
"Latium","ItStPet","History","0.9","","","","simple","simple",""
"Latium","ItStPet","Philosophy","0.9","","","","simple","simple",""
"Latium","ItStPet","Scientific literature","0.9","","","","simple","simple",""
"Latium","ItStPet","Fiction","0.9","","","","simple","simple",""
"Latium","ItStPet","Articles","1","","","","simple","simple",""
"Latium","ItStPet","Tokens","0.1","","","","simple","simple",""
"Latium","ItStPet","Foreign coins","0.9","","","","simple","simple",""
"Latium","ItStPet","Indigenous coins","1","","","","simple","simple",""
"Latium","ItStPet","Paper currency","0","","","","simple","simple",""
"Latium","ItStPet","elite status is hereditary","1","","711","849","complex","simple","range"
"Latium","ItStPet","elite status is hereditary","1","","850","904","complex","simple","range"
"Latium","ItPapEM","Polity Population","300000","1250000","1000","","complex","range","simple"
"Latium","ItPapEM","Polity Population","300000","1115000","1100","","complex","range","simple"
"Latium","ItPapEM","Polity territory","14000","","1000","","complex","simple","simple"
"Latium","ItPapEM","Polity territory","6000","","1100","","complex","simple","simple"
"Latium","ItPapEM","Population of the largest settlement","35000","","1000","","complex","simple","simple"
"Latium","ItPapEM","Population of the largest settlement","35000","","1100","","complex","simple","simple"
"Latium","ItPapEM","Administrative levels","6","","","","simple","simple",""
"Latium","ItPapEM","Military levels","6","","","","simple","simple",""
"Latium","ItPapEM","Religious levels","6","","","","simple","simple",""
"Latium","ItPapEM","Settlement hierarchy","5","","","","simple","simple",""
"Latium","ItPapEM","Professional military officers","1","","","","simple","simple",""
"Latium","ItPapEM","Professional soldiers","1","","","","simple","simple",""
"Latium","ItPapEM","Professional priesthood","1","","","","simple","simple",""
"Latium","ItPapEM","Full-time bureaucrats","1","","","","simple","simple",""
"Latium","ItPapEM","Examination system","0","","","","simple","simple",""
"Latium","ItPapEM","Merit promotion","1","","","","simple","simple",""
"Latium","ItPapEM","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItPapEM","Courts","1","","","","simple","simple",""
"Latium","ItPapEM","Formal legal code","1","","","","simple","simple",""
"Latium","ItPapEM","Judges","1","","","","simple","simple",""
"Latium","ItPapEM","Professional Lawyers","1","","","","simple","simple",""
"Latium","ItPapEM","irrigation systems","0.9","","","","simple","simple",""
"Latium","ItPapEM","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItPapEM","markets","1","","","","simple","simple",""
"Latium","ItPapEM","food storage sites","0.9","","","","simple","simple",""
"Latium","ItPapEM","Roads","1","","","","simple","simple",""
"Latium","ItPapEM","Bridges","1","","","","simple","simple",""
"Latium","ItPapEM","Canals","0","","","","simple","simple",""
"Latium","ItPapEM","Ports","1","","","","simple","simple",""
"Latium","ItPapEM","Mines or quarries","0.9","","","","simple","simple",""
"Latium","ItPapEM","Couriers","1","","","","simple","simple",""
"Latium","ItPapEM","Postal stations","0","","","","simple","simple",""
"Latium","ItPapEM","General postal service","0","","","","simple","simple",""
"Latium","ItPapEM","Mnemonic devices","0.9","","","","simple","simple",""
"Latium","ItPapEM","Nonwritten records","0","","","","simple","simple",""
"Latium","ItPapEM","Written records","1","","","","simple","simple",""
"Latium","ItPapEM","Script","1","","","","simple","simple",""
"Latium","ItPapEM","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItPapEM","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItPapEM","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItPapEM","Calendar","1","","","","simple","simple",""
"Latium","ItPapEM","Sacred Texts","1","","","","simple","simple",""
"Latium","ItPapEM","Religious literature","1","","","","simple","simple",""
"Latium","ItPapEM","Practical literature","1","","","","simple","simple",""
"Latium","ItPapEM","History","1","","","","simple","simple",""
"Latium","ItPapEM","Philosophy","1","","","","simple","simple",""
"Latium","ItPapEM","Scientific literature","1","","","","simple","simple",""
"Latium","ItPapEM","Fiction","1","","","","simple","simple",""
"Latium","ItPapEM","Articles","1","","","","simple","simple",""
"Latium","ItPapEM","Tokens","1","","","","simple","simple",""
"Latium","ItPapEM","Precious metals","1","","","","simple","simple",""
"Latium","ItPapEM","Foreign coins","1","","","","simple","simple",""
"Latium","ItPapEM","Indigenous coins","0","","","","simple","simple",""
"Latium","ItPapEM","Paper currency","0","","","","simple","simple",""
"Latium","ItPapEM","elite status is hereditary","1","","","","simple","simple",""
"Latium","ItPapHM","Polity Population","300000","1500000","","","complex","range",""
"Latium","ItPapHM","Polity territory","44000","","","","simple","simple",""
"Latium","ItPapHM","Population of the largest settlement","35000","","","","simple","simple",""
"Latium","ItPapHM","Administrative levels","5","6","","","complex","range",""
"Latium","ItPapHM","Military levels","5","","","","simple","simple",""
"Latium","ItPapHM","Religious levels","6","","","","simple","simple",""
"Latium","ItPapHM","Settlement hierarchy","4","","","","simple","simple",""
"Latium","ItPapHM","Professional military officers","1","","","","simple","simple",""
"Latium","ItPapHM","Professional soldiers","1","","","","simple","simple",""
"Latium","ItPapHM","Professional priesthood","1","","","","simple","simple",""
"Latium","ItPapHM","Full-time bureaucrats","1","","","","simple","simple",""
"Latium","ItPapHM","Examination system","0","","","","simple","simple",""
"Latium","ItPapHM","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItPapHM","Courts","1","","","","simple","simple",""
"Latium","ItPapHM","Formal legal code","1","","","","simple","simple",""
"Latium","ItPapHM","Judges","1","","","","simple","simple",""
"Latium","ItPapHM","Professional Lawyers","1","","","","simple","simple",""
"Latium","ItPapHM","irrigation systems","1","","","","simple","simple",""
"Latium","ItPapHM","drinking water supply systems","0.9","","","","simple","simple",""
"Latium","ItPapHM","markets","0.9","","","","simple","simple",""
"Latium","ItPapHM","food storage sites","0.9","","","","simple","simple",""
"Latium","ItPapHM","Roads","1","","","","simple","simple",""
"Latium","ItPapHM","Bridges","1","","","","simple","simple",""
"Latium","ItPapHM","Canals","0","","","","simple","simple",""
"Latium","ItPapHM","Ports","1","","","","simple","simple",""
"Latium","ItPapHM","Mines or quarries","1","","","","simple","simple",""
"Latium","ItPapHM","Couriers","1","","","","simple","simple",""
"Latium","ItPapHM","Postal stations","0","","","","simple","simple",""
"Latium","ItPapHM","General postal service","0","","","","simple","simple",""
"Latium","ItPapHM","Mnemonic devices","0.9","","","","simple","simple",""
"Latium","ItPapHM","Nonwritten records","1","","","","simple","simple",""
"Latium","ItPapHM","Written records","1","","","","simple","simple",""
"Latium","ItPapHM","Script","1","","","","simple","simple",""
"Latium","ItPapHM","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItPapHM","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItPapHM","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItPapHM","Calendar","1","","","","simple","simple",""
"Latium","ItPapHM","Sacred Texts","1","","","","simple","simple",""
"Latium","ItPapHM","Religious literature","1","","","","simple","simple",""
"Latium","ItPapHM","Practical literature","1","","","","simple","simple",""
"Latium","ItPapHM","History","1","","","","simple","simple",""
"Latium","ItPapHM","Philosophy","1","","","","simple","simple",""
"Latium","ItPapHM","Scientific literature","1","","","","simple","simple",""
"Latium","ItPapHM","Fiction","1","","","","simple","simple",""
"Latium","ItPapHM","Articles","1","","","","simple","simple",""
"Latium","ItPapHM","Tokens","0.1","","","","simple","simple",""
"Latium","ItPapHM","Precious metals","1","","","","simple","simple",""
"Latium","ItPapHM","Foreign coins","0.9","","","","simple","simple",""
"Latium","ItPapHM","Indigenous coins","1","","","","simple","simple",""
"Latium","ItPapHM","Paper currency","0","","","","simple","simple",""
"Latium","ItPapHM","elite status is hereditary","1","","","","simple","simple",""
"Latium","ItPapRn","Polity Population","600000","","1400","","complex","simple","simple"
"Latium","ItPapRn","Polity Population","1600000","","1500","","complex","simple","simple"
"Latium","ItPapRn","Polity territory","44000","","","","simple","simple",""
"Latium","ItPapRn","Population of the largest settlement","25000","33000","1400","","complex","range","simple"
"Latium","ItPapRn","Population of the largest settlement","55000","","1500","","complex","simple","simple"
"Latium","ItPapRn","Administrative levels","4","6","","","complex","range",""
"Latium","ItPapRn","Military levels","5","","","","simple","simple",""
"Latium","ItPapRn","Religious levels","5","","","","simple","simple",""
"Latium","ItPapRn","Settlement hierarchy","4","5","","","complex","range",""
"Latium","ItPapRn","Professional military officers","1","","","","simple","simple",""
"Latium","ItPapRn","Professional soldiers","1","","","","simple","simple",""
"Latium","ItPapRn","Professional priesthood","1","","","","simple","simple",""
"Latium","ItPapRn","Full-time bureaucrats","1","","","","simple","simple",""
"Latium","ItPapRn","Examination system","0","","","","simple","simple",""
"Latium","ItPapRn","Merit promotion","1","","","","simple","simple",""
"Latium","ItPapRn","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItPapRn","Courts","1","","","","simple","simple",""
"Latium","ItPapRn","Formal legal code","1","","","","simple","simple",""
"Latium","ItPapRn","Judges","1","","","","simple","simple",""
"Latium","ItPapRn","Professional Lawyers","1","","","","simple","simple",""
"Latium","ItPapRn","irrigation systems","1","","","","simple","simple",""
"Latium","ItPapRn","drinking water supply systems","0.9","","","","simple","simple",""
"Latium","ItPapRn","markets","1","","","","simple","simple",""
"Latium","ItPapRn","food storage sites","0.9","","","","simple","simple",""
"Latium","ItPapRn","Roads","1","","","","simple","simple",""
"Latium","ItPapRn","Bridges","1","","","","simple","simple",""
"Latium","ItPapRn","Canals","0","","","","simple","simple",""
"Latium","ItPapRn","Ports","1","","","","simple","simple",""
"Latium","ItPapRn","Mines or quarries","1","","","","simple","simple",""
"Latium","ItPapRn","Couriers","1","","","","simple","simple",""
"Latium","ItPapRn","Postal stations","0","","","","simple","simple",""
"Latium","ItPapRn","General postal service","0","","","","simple","simple",""
"Latium","ItPapRn","Mnemonic devices","0.9","","","","simple","simple",""
"Latium","ItPapRn","Nonwritten records","0","","","","simple","simple",""
"Latium","ItPapRn","Written records","1","","","","simple","simple",""
"Latium","ItPapRn","Script","1","","","","simple","simple",""
"Latium","ItPapRn","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItPapRn","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItPapRn","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItPapRn","Calendar","1","","","","simple","simple",""
"Latium","ItPapRn","Sacred Texts","1","","","","simple","simple",""
"Latium","ItPapRn","Religious literature","1","","","","simple","simple",""
"Latium","ItPapRn","Practical literature","1","","","","simple","simple",""
"Latium","ItPapRn","History","1","","","","simple","simple",""
"Latium","ItPapRn","Philosophy","1","","","","simple","simple",""
"Latium","ItPapRn","Scientific literature","1","","","","simple","simple",""
"Latium","ItPapRn","Fiction","1","","","","simple","simple",""
"Latium","ItPapRn","Articles","1","","","","simple","simple",""
"Latium","ItPapRn","Tokens","0","","","","simple","simple",""
"Latium","ItPapRn","Precious metals","1","","","","simple","simple",""
"Latium","ItPapRn","Foreign coins","1","","","","simple","simple",""
"Latium","ItPapRn","Indigenous coins","1","","","","simple","simple",""
"Latium","ItPapRn","Paper currency","0","","","","simple","simple",""
"Latium","ItPapRn","elite status is hereditary","0.9","","","","simple","simple",""
"Latium","ItPapM1","Polity Population","1600000","","","","simple","simple",""
"Latium","ItPapM1","Polity territory","44000","","","","simple","simple",""
"Latium","ItPapM1","Population of the largest settlement","10000","","1527","","complex","simple","simple"
"Latium","ItPapM1","Population of the largest settlement","45000","","1550","","complex","simple","simple"
"Latium","ItPapM1","Population of the largest settlement","116695","","1591","","complex","simple","simple"
"Latium","ItPapM1","Population of the largest settlement","99312","","1602","","complex","simple","simple"
"Latium","ItPapM1","Administrative levels","4","5","","","complex","range",""
"Latium","ItPapM1","Military levels","5","","","","simple","simple",""
"Latium","ItPapM1","Religious levels","6","","","","simple","simple",""
"Latium","ItPapM1","Settlement hierarchy","4","","","","simple","simple",""
"Latium","ItPapM1","Professional military officers","1","","","","simple","simple",""
"Latium","ItPapM1","Professional soldiers","1","","","","simple","simple",""
"Latium","ItPapM1","Professional priesthood","1","","","","simple","simple",""
"Latium","ItPapM1","Full-time bureaucrats","1","","","","simple","simple",""
"Latium","ItPapM1","Examination system","0","","","","simple","simple",""
"Latium","ItPapM1","Merit promotion","0.1","","","","simple","simple",""
"Latium","ItPapM1","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItPapM1","Courts","1","","","","simple","simple",""
"Latium","ItPapM1","Formal legal code","1","","","","simple","simple",""
"Latium","ItPapM1","Judges","1","","","","simple","simple",""
"Latium","ItPapM1","Professional Lawyers","1","","","","simple","simple",""
"Latium","ItPapM1","irrigation systems","1","","","","simple","simple",""
"Latium","ItPapM1","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItPapM1","markets","1","","","","simple","simple",""
"Latium","ItPapM1","food storage sites","1","","","","simple","simple",""
"Latium","ItPapM1","Roads","1","","","","simple","simple",""
"Latium","ItPapM1","Bridges","1","","","","simple","simple",""
"Latium","ItPapM1","Canals","1","","","","simple","simple",""
"Latium","ItPapM1","Ports","1","","","","simple","simple",""
"Latium","ItPapM1","Mines or quarries","1","","","","simple","simple",""
"Latium","ItPapM1","Couriers","1","","","","simple","simple",""
"Latium","ItPapM1","Postal stations","1","","","","simple","simple",""
"Latium","ItPapM1","General postal service","0","","","","simple","simple",""
"Latium","ItPapM1","Mnemonic devices","1","","","","simple","simple",""
"Latium","ItPapM1","Nonwritten records","1","","","","simple","simple",""
"Latium","ItPapM1","Written records","1","","","","simple","simple",""
"Latium","ItPapM1","Script","1","","","","simple","simple",""
"Latium","ItPapM1","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItPapM1","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItPapM1","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItPapM1","Calendar","1","","","","simple","simple",""
"Latium","ItPapM1","Sacred Texts","1","","","","simple","simple",""
"Latium","ItPapM1","Religious literature","1","","","","simple","simple",""
"Latium","ItPapM1","Practical literature","1","","","","simple","simple",""
"Latium","ItPapM1","History","1","","","","simple","simple",""
"Latium","ItPapM1","Philosophy","1","","","","simple","simple",""
"Latium","ItPapM1","Scientific literature","1","","","","simple","simple",""
"Latium","ItPapM1","Fiction","1","","","","simple","simple",""
"Latium","ItPapM1","Articles","1","","","","simple","simple",""
"Latium","ItPapM1","Tokens","0","","","","simple","simple",""
"Latium","ItPapM1","Precious metals","1","","","","simple","simple",""
"Latium","ItPapM1","Foreign coins","1","","","","simple","simple",""
"Latium","ItPapM1","Indigenous coins","1","","","","simple","simple",""
"Latium","ItPapM1","Paper currency","0","","","","simple","simple",""
"Latium","ItPapM1","elite status is hereditary","0.9","","","","simple","simple",""
"Latium","ItPapM2","Polity Population","1900000","","1701","","complex","simple","simple"
"Latium","ItPapM2","Polity Population","2300000","","1799","","complex","simple","simple"
"Latium","ItPapM2","Polity territory","44000","","","","simple","simple",""
"Latium","ItPapM2","Population of the largest settlement","118000","","1652","","complex","simple","simple"
"Latium","ItPapM2","Population of the largest settlement","135000","","1699","","complex","simple","simple"
"Latium","ItPapM2","Population of the largest settlement","158000","","1750","","complex","simple","simple"
"Latium","ItPapM2","Population of the largest settlement","153000","","1800","","complex","disputed","simple"
"Latium","ItPapM2","Population of the largest settlement","158000","","1800","","complex","disputed","simple"
"Latium","ItPapM2","Administrative levels","6","","","","simple","simple",""
"Latium","ItPapM2","Military levels","5","","","","simple","simple",""
"Latium","ItPapM2","Religious levels","6","","","","simple","simple",""
"Latium","ItPapM2","Settlement hierarchy","4","","","","simple","simple",""
"Latium","ItPapM2","Professional military officers","1","","","","simple","simple",""
"Latium","ItPapM2","Professional soldiers","1","","","","simple","simple",""
"Latium","ItPapM2","Professional priesthood","1","","","","simple","simple",""
"Latium","ItPapM2","Full-time bureaucrats","1","","","","simple","simple",""
"Latium","ItPapM2","Examination system","0","","","","simple","simple",""
"Latium","ItPapM2","Merit promotion","0.1","","","","simple","simple",""
"Latium","ItPapM2","Specialized government buildings","1","","","","simple","simple",""
"Latium","ItPapM2","Courts","1","","","","simple","simple",""
"Latium","ItPapM2","Formal legal code","1","","","","simple","simple",""
"Latium","ItPapM2","Judges","1","","","","simple","simple",""
"Latium","ItPapM2","Professional Lawyers","1","","","","simple","simple",""
"Latium","ItPapM2","irrigation systems","1","","","","simple","simple",""
"Latium","ItPapM2","drinking water supply systems","1","","","","simple","simple",""
"Latium","ItPapM2","markets","1","","","","simple","simple",""
"Latium","ItPapM2","food storage sites","1","","","","simple","simple",""
"Latium","ItPapM2","Roads","1","","","","simple","simple",""
"Latium","ItPapM2","Bridges","1","","","","simple","simple",""
"Latium","ItPapM2","Canals","1","","","","simple","simple",""
"Latium","ItPapM2","Ports","1","","","","simple","simple",""
"Latium","ItPapM2","Mines or quarries","1","","","","simple","simple",""
"Latium","ItPapM2","Couriers","1","","","","simple","simple",""
"Latium","ItPapM2","Postal stations","0","","","","simple","simple",""
"Latium","ItPapM2","General postal service","0","","","","simple","simple",""
"Latium","ItPapM2","Mnemonic devices","0.9","","","","simple","simple",""
"Latium","ItPapM2","Nonwritten records","1","","","","simple","simple",""
"Latium","ItPapM2","Written records","1","","","","simple","simple",""
"Latium","ItPapM2","Script","1","","","","simple","simple",""
"Latium","ItPapM2","Non-phonetic writing","0","","","","simple","simple",""
"Latium","ItPapM2","Phonetic alphabetic writing","1","","","","simple","simple",""
"Latium","ItPapM2","Lists tables and classifications","1","","","","simple","simple",""
"Latium","ItPapM2","Calendar","1","","","","simple","simple",""
"Latium","ItPapM2","Sacred Texts","1","","","","simple","simple",""
"Latium","ItPapM2","Religious literature","1","","","","simple","simple",""
"Latium","ItPapM2","Practical literature","1","","","","simple","simple",""
"Latium","ItPapM2","History","1","","","","simple","simple",""
"Latium","ItPapM2","Philosophy","1","","","","simple","simple",""
"Latium","ItPapM2","Scientific literature","1","","","","simple","simple",""
"Latium","ItPapM2","Fiction","1","","","","simple","simple",""
"Latium","ItPapM2","Articles","1","","","","simple","simple",""
"Latium","ItPapM2","Tokens","0","","","","simple","simple",""
"Latium","ItPapM2","Precious metals","1","","","","simple","simple",""
"Latium","ItPapM2","Foreign coins","1","","","","simple","simple",""
"Latium","ItPapM2","Indigenous coins","1","","","","simple","simple",""
"Latium","ItPapM2","Paper currency","0.9","","","","simple","simple",""
"Latium","ItPapM2","elite status is hereditary","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","Polity Population","800","1200","","","complex","range",""
"Paris Basin","FrBeakr","Population of the largest settlement","800","1200","","","complex","range",""
"Paris Basin","FrBeakr","Administrative levels","1","","","","simple","simple",""
"Paris Basin","FrBeakr","Settlement hierarchy","1","2","","","complex","range",""
"Paris Basin","FrBeakr","Professional military officers","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Professional soldiers","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Professional priesthood","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Full-time bureaucrats","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Examination system","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Merit promotion","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Specialized government buildings","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Courts","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Formal legal code","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Judges","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Professional Lawyers","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","irrigation systems","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","drinking water supply systems","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","markets","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Roads","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","Canals","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Ports","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Mines or quarries","1","","","","simple","simple",""
"Paris Basin","FrBeakr","Couriers","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Postal stations","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","General postal service","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Mnemonic devices","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Nonwritten records","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Written records","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Script","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Non-phonetic writing","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Lists tables and classifications","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Calendar","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Sacred Texts","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Religious literature","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Practical literature","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","History","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Philosophy","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Scientific literature","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Fiction","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Articles","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","Tokens","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","Precious metals","0.9","","","","simple","simple",""
"Paris Basin","FrBeakr","Foreign coins","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Indigenous coins","0.1","","","","simple","simple",""
"Paris Basin","FrBeakr","Paper currency","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Polity Population","1000","2000","","","complex","range",""
"Paris Basin","FrAtlBA","Population of the largest settlement","1000","2000","","","complex","range",""
"Paris Basin","FrAtlBA","Administrative levels","1","2","","","complex","range",""
"Paris Basin","FrAtlBA","Settlement hierarchy","1","2","","","complex","range",""
"Paris Basin","FrAtlBA","Professional military officers","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Professional soldiers","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Professional priesthood","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Full-time bureaucrats","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Examination system","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Merit promotion","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Specialized government buildings","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Courts","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Judges","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Professional Lawyers","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","irrigation systems","0.9","","","","simple","simple",""
"Paris Basin","FrAtlBA","drinking water supply systems","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","markets","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Roads","0.9","","","","simple","simple",""
"Paris Basin","FrAtlBA","Canals","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Ports","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Mines or quarries","1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Couriers","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Postal stations","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","General postal service","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Mnemonic devices","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Nonwritten records","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Written records","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Script","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Non-phonetic writing","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Phonetic alphabetic writing","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Lists tables and classifications","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Calendar","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Sacred Texts","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Religious literature","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Practical literature","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","History","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Philosophy","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Scientific literature","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Fiction","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Articles","1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Tokens","0.9","","","","simple","simple",""
"Paris Basin","FrAtlBA","Precious metals","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Foreign coins","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Indigenous coins","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","Paper currency","0.1","","","","simple","simple",""
"Paris Basin","FrAtlBA","elite status is hereditary","0.9","","","","simple","simple",""
"Paris Basin","FrHallA","Polity Population","100","1000","","","complex","range",""
"Paris Basin","FrHallA","Polity territory","750","1250","","","complex","range",""
"Paris Basin","FrHallA","Population of the largest settlement","100","","","","simple","simple",""
"Paris Basin","FrHallA","Administrative levels","2","","","","simple","simple",""
"Paris Basin","FrHallA","Military levels","1","","","","simple","simple",""
"Paris Basin","FrHallA","Religious levels","1","","","","simple","simple",""
"Paris Basin","FrHallA","Settlement hierarchy","2","","","","simple","simple",""
"Paris Basin","FrHallA","Professional military officers","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Professional soldiers","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Professional priesthood","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Full-time bureaucrats","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Examination system","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Merit promotion","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Specialized government buildings","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Courts","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Formal legal code","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Judges","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Professional Lawyers","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","drinking water supply systems","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","markets","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","food storage sites","0.9","","","","simple","simple",""
"Paris Basin","FrHallA","Canals","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Ports","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Mines or quarries","0.9","","","","simple","simple",""
"Paris Basin","FrHallA","Couriers","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Postal stations","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","General postal service","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Nonwritten records","0.1","","","","simple","simple",""
"Paris Basin","FrHallA","Written records","0.1","","","","simple","simple",""
