,Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money
149,CnTangE-7,"['Middle Yellow River Valley', 'Orkhon Valley']",Tang Dynasty,739.0,753.0,48000000.0,5067000,1000000,7,8.0,2.0,3.0,1400,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2080,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,739.0,"['50S', '48T']","['East Asia', 'Central Eurasia']",Chang'an,unitary state,Chinese,Sino-Tibetan,Sui Dynasty,continuation,Tang Dynasty,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.681241237375588,6.704750904290671,6.0,4.333333333333333,1.0,0.8999999999999999,4.0,1.0,5.0
151,CnTangE-8,"['Middle Yellow River Valley', 'Orkhon Valley']",Tang Dynasty,753.0,759.0,52800000.0,5067000,1000000,7,8.0,2.0,3.0,1400,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2080,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,739.0,"['50S', '48T']","['East Asia', 'Central Eurasia']",Chang'an,unitary state,Chinese,Sino-Tibetan,Sui Dynasty,continuation,Tang Dynasty,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.722633922533812,6.704750904290671,6.0,4.333333333333333,1.0,0.8999999999999999,4.0,1.0,5.0
153,CnTangE-9,"['Middle Yellow River Valley', 'Orkhon Valley']",Tang Dynasty,759.0,762.0,52800000.0,4100000,1000000,7,8.0,2.0,3.0,1400,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2080,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,739.0,"['50S', '48T']","['East Asia', 'Central Eurasia']",Chang'an,unitary state,Chinese,Sino-Tibetan,Sui Dynasty,continuation,Tang Dynasty,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.722633922533812,6.6127838567197355,6.0,4.333333333333333,1.0,0.8999999999999999,4.0,1.0,5.0
155,CnTangL-1,['Middle Yellow River Valley'],Tang Dynasty,762.0,765.0,,,1000000,7,5.0,2.0,3.0,1300,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11.75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,819.0,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Tang Dynasty,continuation,Five Dynasties,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,,6.0,3.3333333333333335,1.0,0.8999999999999999,4.0,1.0,5.0
156,CnTangL-2,['Middle Yellow River Valley'],Tang Dynasty,765.0,799.0,40000000.0,,1000000,7,5.0,2.0,3.0,1300,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11.75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,819.0,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Tang Dynasty,continuation,Five Dynasties,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.6020599913279625,,6.0,3.3333333333333335,1.0,0.8999999999999999,4.0,1.0,5.0
157,CnTangL-3,['Middle Yellow River Valley'],Tang Dynasty,799.0,899.0,40000000.0,3243000,1000000,7,5.0,2.0,3.0,1300,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11.75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,819.0,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Tang Dynasty,continuation,Five Dynasties,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.6020599913279625,6.510946948672973,6.0,3.3333333333333335,1.0,0.8999999999999999,4.0,1.0,5.0
158,CnTangL-4,['Middle Yellow River Valley'],Tang Dynasty,899.0,906.0,60000000.0,1500000,1000000,7,5.0,2.0,3.0,1300,,1.0,1.0,1.0,1.0,1.0,1.0,state,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,11.75,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,1.0,1.0,1.0,819.0,['50S'],['East Asia'],Luoyang,confederated state,Chinese,Sino-Tibetan,Tang Dynasty,continuation,Five Dynasties,China,5000000,none,,1.0,1.0,0.1,,imperial sacrifice at the capital,once per generation,once per generation,once in a lifetime,blood covenant,not applicable,,,New Year celebrations,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.778151250383644,6.176091259055681,6.0,3.3333333333333335,1.0,0.8999999999999999,4.0,1.0,5.0
159,CnWHan-1,['Middle Yellow River Valley'],Han Empire,-202.0,-200.0,,,250000,7,7.0,3.0,6.0,1500,,1.0,,0.1,0.1,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2,2400 m,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,-100.0,['50S'],['East Asia'],Chang 'an,unitary state,Chinese,Sino-Tibetan,Imperial Qin,elite migration,Eastern Han,China,3000000,alliance,moralizing,,1.0,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,,5.3979400086720375,5.333333333333333,0.7454545454545454,0.8888888888888888,4.0,0.8888888888888888,6.0
160,CnWHan-2,['Middle Yellow River Valley'],Han Empire,-200.0,-100.0,45000000.0,2433000,250000,7,7.0,3.0,6.0,1500,,1.0,,0.1,0.1,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2,2400 m,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,-100.0,['50S'],['East Asia'],Chang 'an,unitary state,Chinese,Sino-Tibetan,Imperial Qin,elite migration,Eastern Han,China,3000000,alliance,moralizing,,1.0,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.653212513775344,6.386142108930819,5.3979400086720375,5.333333333333333,0.7454545454545454,0.8888888888888888,4.0,0.8888888888888888,6.0
161,CnWHan-3,['Middle Yellow River Valley'],Han Empire,-100.0,0.0,45000000.0,4567000,250000,7,7.0,3.0,6.0,1500,,1.0,,0.1,0.1,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2,2400 m,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,-100.0,['50S'],['East Asia'],Chang 'an,unitary state,Chinese,Sino-Tibetan,Imperial Qin,elite migration,Eastern Han,China,3000000,alliance,moralizing,,1.0,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.653212513775344,6.659631011607001,5.3979400086720375,5.333333333333333,0.7454545454545454,0.8888888888888888,4.0,0.8888888888888888,6.0
162,CnWHan-4,['Middle Yellow River Valley'],Han Empire,0.0,8.0,57600000.0,4917000,250000,7,7.0,3.0,6.0,1500,,1.0,,0.1,0.1,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,2,2400 m,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,-100.0,['50S'],['East Asia'],Chang 'an,unitary state,Chinese,Sino-Tibetan,Imperial Qin,elite migration,Eastern Han,China,3000000,alliance,moralizing,,1.0,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,7.760422483423212,6.691700208290161,5.3979400086720375,5.333333333333333,0.7454545454545454,0.8888888888888888,4.0,0.8888888888888888,6.0
163,CnWWei-1,['Middle Yellow River Valley'],Western Wei,534.0,576.0,,,,,,,,,,,1.0,0.1,0.1,0.0,0.1,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,,,0.1,0.1,1.0,,['50S'],['East Asia'],,,,,,,,,,,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,New Year celebrations,not applicable,once yearly,once yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,,,,0.5727272727272728,0.6666666666666666,4.0,1.0,5.0
164,CnWZhou-1,['Middle Yellow River Valley'],Western Zhou,-1122.0,-1100.0,,,,5,4.0,2.0,5.0,900,1.0,,,1.0,1.0,0.1,1.0,governed population,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,27.0,,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.1,0.1,0.0,,,1.0,,0.1,1.0,1.0,-937.0,['50S'],['East Asia'],Zhongzhou,unitary state,Chinese,Sino-Tibetan,Late Shang,elite migration,Zhou Kingdom,2000000,,vassalage,moralizing,,,,,royal tillage,not applicable,yearly,yearly,punitive cannibalism,,,,feast,,,,ancestor worship,not applicable,seasonally,seasonally,agricultural ceremonies,not applicable,seasonally,seasonally,,,,,3.6666666666666665,0.7363636363636363,0.6666666666666666,4.0,0.7777777777777778,2.0
165,CnWZhou-2,['Middle Yellow River Valley'],Western Zhou,-1100.0,-1000.0,,850000,,5,4.0,2.0,5.0,900,1.0,,,1.0,1.0,0.1,1.0,governed population,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,27.0,,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.1,0.1,0.0,,,1.0,,0.1,1.0,1.0,-937.0,['50S'],['East Asia'],Zhongzhou,unitary state,Chinese,Sino-Tibetan,Late Shang,elite migration,Zhou Kingdom,2000000,,vassalage,moralizing,,,,,royal tillage,not applicable,yearly,yearly,punitive cannibalism,,,,feast,,,,ancestor worship,not applicable,seasonally,seasonally,agricultural ceremonies,not applicable,seasonally,seasonally,,,5.929418925714293,,3.6666666666666665,0.7363636363636363,0.6666666666666666,4.0,0.7777777777777778,2.0
166,CnWZhou-3,['Middle Yellow River Valley'],Western Zhou,-1000.0,-900.0,5000000.0,850000,100000,5,4.0,2.0,5.0,900,1.0,,,1.0,1.0,0.1,1.0,governed population,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,27.0,,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.1,0.1,0.0,,,1.0,,0.1,1.0,1.0,-937.0,['50S'],['East Asia'],Zhongzhou,unitary state,Chinese,Sino-Tibetan,Late Shang,elite migration,Zhou Kingdom,2000000,,vassalage,moralizing,,,,,royal tillage,not applicable,yearly,yearly,punitive cannibalism,,,,feast,,,,ancestor worship,not applicable,seasonally,seasonally,agricultural ceremonies,not applicable,seasonally,seasonally,,6.698970004336019,5.929418925714293,5.0,3.6666666666666665,0.7363636363636363,0.6666666666666666,4.0,0.7777777777777778,2.0
167,CnWZhou-4,['Middle Yellow River Valley'],Western Zhou,-900.0,-800.0,9000000.0,850000,125000,5,4.0,2.0,5.0,900,1.0,,,1.0,1.0,0.1,1.0,governed population,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,27.0,,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.1,0.1,0.0,,,1.0,,0.1,1.0,1.0,-937.0,['50S'],['East Asia'],Zhongzhou,unitary state,Chinese,Sino-Tibetan,Late Shang,elite migration,Zhou Kingdom,2000000,,vassalage,moralizing,,,,,royal tillage,not applicable,yearly,yearly,punitive cannibalism,,,,feast,,,,ancestor worship,not applicable,seasonally,seasonally,agricultural ceremonies,not applicable,seasonally,seasonally,,6.954242509439325,5.929418925714293,5.096910013008056,3.6666666666666665,0.7363636363636363,0.6666666666666666,4.0,0.7777777777777778,2.0
168,CnWZhou-5,['Middle Yellow River Valley'],Western Zhou,-800.0,-771.0,13500000.0,850000,125000,5,4.0,2.0,5.0,900,1.0,,,1.0,1.0,0.1,1.0,governed population,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,27.0,,1.0,1.0,1.0,1.0,1.0,0.1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.1,0.1,0.0,,,1.0,,0.1,1.0,1.0,-937.0,['50S'],['East Asia'],Zhongzhou,unitary state,Chinese,Sino-Tibetan,Late Shang,elite migration,Zhou Kingdom,2000000,,vassalage,moralizing,,,,,royal tillage,not applicable,yearly,yearly,punitive cannibalism,,,,feast,,,,ancestor worship,not applicable,seasonally,seasonally,agricultural ceremonies,not applicable,seasonally,seasonally,,7.1303337684950066,5.929418925714293,5.096910013008056,3.6666666666666665,0.7363636363636363,0.6666666666666666,4.0,0.7777777777777778,2.0
169,CnWei3-1,['Middle Yellow River Valley'],Wei Dynasty,219.0,264.0,,,,4,4.0,1.0,,,,,1.0,0.1,0.1,0.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0,224.0,['50S'],['East Asia'],Luoyang,unitary state,Chinese,Sino-Tibetan,Eastern Han,Continuity,Western Jin,Three Kingdoms,,alliance,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,,,2.5,0.6545454545454545,0.6666666666666666,4.0,0.8888888888888888,5.0
170,CnWeiWS-1,['Middle Yellow River Valley'],Wei,-445.0,-225.0,,90000,,5,4.0,,4.0,400,,,1.0,,1.0,0.0,1.0,state salary,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,,1.0,0.0,,1.0,1.0,1.0,,,0.0,1.0,0.1,1.0,,1.0,,0.1,1.0,1.0,-353.0,['50S'],['East Asia'],Daliang,confederated state,Chinese,Sino-Tibetan,Jin,elite migration,imperial Qin,Chinese,3000000,nominal,moralizing,,1.0,,,royal tillage,not applicable,yearly,yearly,blood covenant,not applicable,,,feast,not applicable,,,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,4.954242509439325,,4.0,0.6363636363636364,0.6666666666666666,4.0,0.5555555555555556,5.0
171,CnWu3-1,['Middle Yellow River Valley'],Wu Dynasty,221.0,279.0,,,,,,,,,,,1.0,0.1,0.1,0.0,,state salary,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.1,1.0,1.0,1.0,,1.0,1.0,1.0,,['50S'],['East Asia'],,,,,,,,,,,,,,,,imperial sacrifice at the capital,yearly,yearly,yearly,blood covenant,not applicable,,,Lunar New Year,not applicable,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,earth worship,not applicable,seasonally,seasonally,,,,,,0.5636363636363636,0.6666666666666666,4.0,0.8888888888888888,5.0
172,CnYngsh-1,['Middle Yellow River Valley'],Yangshao,-5000.0,-3000.0,10000.0,,200,1,,,2.0,,1.0,0.1,0.1,,0.1,0.1,0.1,,0.1,0.1,0.1,0.1,,1.0,0.1,1.0,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,,61.6,300,3.0,0.1,0.1,1.0,1.0,0.1,1.0,0.1,1.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.1,0.1,0.1,0.0,,0.1,0.1,,0.1,0.1,0.1,,['50S'],['East Asia'],0.0,quasipolity,,,Peiligang,,Longshan,China,1000000,,,,,,,Shamanic funeral,once per generation,once per generation,once per generation,,,,,,,,,common oracle-bone divination,,,,common oracle-bone divination,,,,,4.0,,2.3010299956639813,2.0,0.09090909090909091,0.17777777777777778,2.0,0.0,
173,CnYuan-1,"['Middle Yellow River Valley', 'Orkhon Valley']",Great Yuan,1270.0,1299.0,,,,8,6.0,3.0,7.0,3270,,1.0,1.0,1.0,1.0,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,8.0,0.0,1.0,1.0,1309.0,"['50S', '48T']","['East Asia', 'Central Eurasia']",Shangdu,unitary state,Chinese,Sino-Tibetan,Mongol Empire,continuity,Early Ming,China,17000000,alliance,,1.0,1.0,0.1,,New Year festival,yearly,yearly,yearly,blood covenant,,,,New Year festival,yearly,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,birthday of the great khan,not applicable,yearly,yearly,,,,,5.333333333333333,1.0,0.8888888888888888,4.0,1.0,6.0
175,CnYuan-2,"['Middle Yellow River Valley', 'Orkhon Valley']",Great Yuan,1299.0,1367.0,60491000.0,24000000,800000,8,6.0,3.0,7.0,3270,,1.0,1.0,1.0,1.0,1.0,1.0,state salary,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,8.0,0.0,1.0,1.0,1309.0,"['50S', '48T']","['East Asia', 'Central Eurasia']",Shangdu,unitary state,Chinese,Sino-Tibetan,Mongol Empire,continuity,Early Ming,China,17000000,alliance,,1.0,1.0,0.1,,New Year festival,yearly,yearly,yearly,blood covenant,,,,New Year festival,yearly,yearly,yearly,ancestor worship,not applicable,seasonally,seasonally,birthday of the great khan,not applicable,yearly,yearly,,7.781690764055907,7.380211241711606,5.903089986991944,5.333333333333333,1.0,0.8888888888888888,4.0,1.0,6.0
