Temperoculture,NGA,Original_culture_name,Period_start,Period_end,Polity_population,Polity_territory,Population_of_the_largest_settlement,Administrative_levels,Military_levels,Religious_levels,Settlement_hierarchy,Largest_communication_distance,Occupational_complexity,Professional_lawyers,Professional_military_officers,Professional_priesthood,Professional_soldiers,Bureaucracy_examination_system,Bureaucracy_merit_promotion,Bureaucracy_source_of_support,Fulltime_bureaucrats,Courts,Formal_legal_code,Judges,Bridges,Burial_site,Canals,Ceremonial_site,Communal_buildings,Drinking_water_supply_systems,Enclosures,Entertainment_buildings,Food_storage_sites,Irrigation_systems,Knowledge/information_buildings,Markets,Mines_or_quarries,Monumental_building_cost,Monumental_building_extent,Monumental_building_height,Ports,Roads,Special_purpose_house,Special_purpose_sites,Specialized_government_buildings,Symbolic_buildings,Trading_emporia,Utilitarian_public_buildings,Other_polity-owned_site,Calendar,Fiction,Geometrical_measurements,History,Lists_tables_and_classifications,Measurement_of_area,Measurement_of_time,Measurement_of_length,Measurement_of_volume,Measurement_of_weight,Mnemonic_devices,Nonphonetic_writing,Phonetic_alphabetic_writing,Philosophy,Practical_literature,Religious_literature,Sacred_texts,Scientific_literature,Script,Nonwritten_records,Written_records,Articles,Debt_and_credit_structures,Foreign_coins,Indigenous_coins,Paper_currency,Precious_metals,Store_of_wealth,Tokens,Fastest_individual_communication,General_postal_service,Postal_stations,Couriers,Peak_date,UTM_zone,Region,Capital,Degree_of_centralization,Language,Linguistic_family,Preceding_(quasi)polity,Relationship_to_preceding_(quasi)polity,Succeeding_(quasi)polity,Supracultural_entity,Scale_of_supracultural_interaction,Suprapolity_relations,High_gods_(creator_gods),Supernatural_enforcement_of_fairness,Supernatural_enforcement_of_human_reciprocity,Supernatural_enforcement_of_ingroup_loyalty,Name_of_official_cult,Largest_scale_ritual_name,Largest_scale_collective_ritual_of_the_official_cult_frequency_for_the_audience,Largest_scale_ritual_frequency_for_ritual_specialist,Largest_scale_ritual_frequency_per_participant,Most_dysphoric_ritual_name,Most_dysphoric_ritual_frequency_for_audience,Most_dysphoric_ritual_frequency_for_ritual_specialist,Most_dysphoric_ritual_frequency_per_participant,Most_euphoric_ritual_name,Most_euphoric_ritual_frequency_for_audience,Most_euphoric_ritual_frequency_for_ritual_specialist,Most_euphoric_ritual_frequency_per_participant,Most_frequent_ritual_name,Most_frequent_ritual_frequency_for_audience,Most_frequent_ritual_frequency_for_ritual_specialist,Most_frequent_ritual_frequency_per_participant,Most_widespread_ritual_name,Most_widespread_ritual_frequency_for_audience,Most_widespread_ritual_frequency_for_ritual_specialist,Most_widespread_ritual_frequency_per_participant,Name_of_other_significant_religious_or_ideological_systems,CC_PolPop,CC_PolTerr,CC_CapPop,CC_Hier,CC_Govt,CC_Infra,CC_Writing,CC_Texts,CC_Money,BasePolity,Percent_CCs_imputed,CCs_imputed,CC_PolPop_Regression_x0,CC_PolPop_Regression_x1,CC_PolPop_Regression_x2,CC_PolTerr_Regression_x0,CC_PolTerr_Regression_x1,CC_PolTerr_Regression_x2,CC_CapPop_Regression_x0,CC_CapPop_Regression_x1,CC_CapPop_Regression_x2,CC_Hier_Regression_x0,CC_Hier_Regression_x1,CC_Hier_Regression_x2,CC_Govt_Regression_x0,CC_Govt_Regression_x1,CC_Govt_Regression_x2,CC_Infra_Regression_x0,CC_Infra_Regression_x1,CC_Infra_Regression_x2,CC_Writing_Regression_x0,CC_Writing_Regression_x1,CC_Writing_Regression_x2,CC_Texts_Regression_x0,CC_Texts_Regression_x1,CC_Texts_Regression_x2,CC_Money_Regression_x0,CC_Money_Regression_x1,CC_Money_Regression_x2
PeWari+900,['Cuzco'],Wari Empire,900,1000,100000,20000,30000,2,3,,5,730,,0.1,1,1,1,0.1,,governed population,1,0.1,0.1,0.1,1,1,,1,1,1,0.1,0,1,1,0.1,0.1,1,15819,745,12,0.1,1,1,1,1,1,0.1,1,1,0.1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0.1,,,,,799,"['18L', '19L']",['South America'],Wari,unitary state,Quechua,Quechua,Early Intermediate Period,elite migration,Late Intermediate Period,Middle Horizon,720000,alliance,,,,,,state sponsored feast,,,,ritual combat,,,,state sponsored feast,,,,,,,,,,,,,5,4.30102999566398,4.47712125471966,4,0.5,0.688888888888889,1,0,1,PeWari,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",15,0.26173560267394,0,12.9030899869919,0.225146535606761,0,13.431363764159,0.234364405969671,0,12,0.209388482139152,0,1.5,0.026173560267394,0,2.06666666666667,0.036061349701743,0,3,0.052347120534788,0,0,0,0,3,0.052347120534788,0
PeWari+1000,['Cuzco'],Wari Empire,1000,1100,100000,20000,30000,2,3,,5,730,,0.1,1,1,1,0.1,,governed population,1,0.1,0.1,0.1,1,1,,1,1,1,0.1,0,1,1,0.1,0.1,1,15819,745,12,0.1,1,1,1,1,1,0.1,1,1,0.1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0.1,,,,,799,"['18L', '19L']",['South America'],Wari,unitary state,Quechua,Quechua,Early Intermediate Period,elite migration,Late Intermediate Period,Middle Horizon,720000,alliance,,,,,,state sponsored feast,,,,ritual combat,,,,state sponsored feast,,,,,,,,,,,,,5,4.30102999566398,4.47712125471966,4,0.5,0.688888888888889,1,0,1,PeWari,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",20,0.269144290167572,0,17.2041199826559,0.231519533034483,0,17.9084850188787,0.240998324419134,0,16,0.215315432134057,0,2,0.026914429016757,0,2.75555555555556,0.037082102200866,0,4,0.053828858033514,0,0,0,0,4,0.053828858033514,0
EsHabsb+1700,['Cuzco'],Spanish Habsburgs,1700,1800,29000000,7100000,224000,6,13,10,7,11850,1,1,1,1,1,0.1,1,land,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,0,1,1,,90,1,1,1,1576,"['18L', '19L']",['South America'],Madrid,confederated state,Castilian Spanish,Indo-European,Crown of Castile and Aragon,continuity,House of Bourbon-Spain,,,,moralizing,1,1,0,Christianity,,,,,,,,,,,,,,,,,,,,,,7.46239799789896,6.85125834871908,5.35024801833416,10,0.918181818181818,1,4,0.888888888888889,5,EsHabsb,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",25,0.674178889483466,11.1935969968484,21.5051499783199,0.618966416211549,10.2768875230786,22.3856062735983,0.483359942538203,8.02537202750125,20,0.903434646173095,15,2.5,0.082951726603166,1.37727272727273,3.44444444444444,0.09034346461731,1.5,5,0.361373858469238,6,0,0.080305301882053,1.33333333333333,5,0.451717323086548,7.5
FrHallC-700,['Paris Basin'],Hallstatt C,-700,-600,3000,2500,3000,3,2,1,3,,,0.1,0.1,0.1,0.1,0.1,0.1,land,0.1,0.1,0.1,0.1,,1,0.1,1,1,0.1,1,0.1,1,,0.1,0.1,1,,,,0.1,1,1,1,0.1,1,,1,,0.1,0.1,0.1,0.1,0.1,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,1,0.1,0.1,0.1,0.1,0.1,,,,0.1,0.1,1,,['31U'],['Europe'],,loose,,,Hallstatt B2-3,continuity,Hallstatt D,Hallstatt,,vassalage,,,,,,Feasting,,,,,,,,Feasting,,,,burial,,,,burial,,,,,3.47712125471966,3.39794000867204,3.47712125471966,2,0.1,0.377777777777778,2,0,1,FrHallC,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.0023468144606,0,0,0.002293372639156,0,0,0.0023468144606,0,0,0.001349860582178,0,0,6.74930291089016E-05,0,0,0.000254973665523,0,0,0.001349860582178,0,0,0,0,0,0.000674930291089,0
FrHallC-600,['Paris Basin'],Hallstatt C,-600,-500,3000,2500,3000,3,2,1,3,,,0.1,0.1,0.1,0.1,0.1,0.1,land,0.1,0.1,0.1,0.1,,1,0.1,1,1,0.1,1,0.1,1,,0.1,0.1,1,,,,0.1,1,1,1,0.1,1,,1,,0.1,0.1,0.1,0.1,0.1,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.1,1,0.1,0.1,0.1,0.1,0.1,,,,0.1,0.1,1,,['31U'],['Europe'],,loose,,,Hallstatt B2-3,continuity,Hallstatt D,Hallstatt,,vassalage,,,,,,Feasting,,,,,,,,Feasting,,,,burial,,,,burial,,,,,3.47712125471966,3.39794000867204,3.47712125471966,2,0.1,0.377777777777778,2,0,1,FrHallC,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",3.47712125471966,0.004499847315717,0,3.39794000867204,0.004397376480972,0,3.47712125471966,0.004499847315717,0,2,0.002588260222222,0,0.1,0.000129413011111,0,0.377777777777778,0.000488893597531,0,2,0.002588260222222,0,0,0,0,1,0.001294130111111,0
FrTeneB-300,['Paris Basin'],La Tene B2-C1,-300,-200,70000,1250,50,3,4,,4,,,0.1,0.1,1,0.1,0.1,0.1,land,0.1,0.1,0.1,1,1,1,0,1,1,0.1,1,0.1,1,,0.1,1,1,,7000,,1,1,1,1,1,1,,1,,0.1,0.1,,0.1,,1,1,1,1,1,,,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,,1,1,0.1,,1,,,0.1,0.1,1,-200,['31U'],['Europe'],,confederated state,Gallic,Celtic,La Tene A-B1,continuity,La Tene C2-D,La Tene,,alliance,,,,,Celtic Religion,consecration of weapons,,,,initiation hunt,,,once in a lifetime,feast,,,,sanctuary rituals,,,,sanctuary rituals,,,,,4.84509804001426,3.09691001300806,1.69897000433602,4,0.345454545454545,0.677777777777778,4,0,5,FrTeneB,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",6.95424250943933,0.673110169326624,0,6.79588001734407,0.430241370975237,0,6.95424250943933,0.236031134531203,0,4,0.555704065236742,0,0.2,0.047992623815901,0,0.755555555555556,0.094160966609559,0,4,0.555704065236742,0,0,0,0,2,0.694630081545928,0
FrTeneB-200,['Paris Basin'],La Tene B2-C1,-200,-100,70000,1250,1500,3,4,,4,,,0.1,0.1,1,0.1,0.1,0.1,land,0.1,0.1,0.1,1,1,1,0,1,1,0.1,1,0.1,1,,0.1,1,1,,7000,,1,1,1,1,1,1,,1,,0.1,0.1,,0.1,,1,1,1,1,1,,,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,,1,1,0.1,,1,,,0.1,0.1,1,-200,['31U'],['Europe'],,confederated state,Gallic,Celtic,La Tene A-B1,continuity,La Tene C2-D,La Tene,,alliance,,,,,Celtic Religion,consecration of weapons,,,,initiation hunt,,,once in a lifetime,feast,,,,sanctuary rituals,,,,sanctuary rituals,,,,,4.84509804001426,3.09691001300806,3.17609125905568,4,0.345454545454545,0.677777777777778,4,0,5,FrTeneB,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",11.7993405494536,0.670851873671016,0,9.89279003035213,0.428797904120609,0,8.65321251377534,0.439761332895829,0,8,0.553839668985556,0,0.545454545454545,0.047831607776025,0,1.43333333333333,0.093845055022553,0,8,0.553839668985556,0,0,0,0,7,0.692299586231946,0
FrTeneB-100,['Paris Basin'],La Tene B2-C1,-100,0,70000,1250,1500,3,4,,4,,,0.1,0.1,1,0.1,0.1,0.1,land,0.1,0.1,0.1,1,1,1,0,1,1,0.1,1,0.1,1,,0.1,1,1,,7000,,1,1,1,1,1,1,,1,,0.1,0.1,,0.1,,1,1,1,1,1,,,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,,1,1,0.1,,1,,,0.1,0.1,1,-200,['31U'],['Europe'],,confederated state,Gallic,Celtic,La Tene A-B1,continuity,La Tene C2-D,La Tene,,alliance,,,,,Celtic Religion,consecration of weapons,,,,initiation hunt,,,once in a lifetime,feast,,,,sanctuary rituals,,,,sanctuary rituals,,,,,4.84509804001426,3.09691001300806,3.17609125905568,4,0.345454545454545,0.677777777777778,4,0,5,FrTeneB,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",16.6444385894678,5.50965209521364,1.21127451000356,12.9897000433602,3.52168245119922,0.774227503252014,11.829303772831,3.611724203623,0.79402281476392,12,4.5486403368609,1,0.890909090909091,0.392837120001623,0.086363636363636,2.11111111111111,0.770741834856986,0.169444444444444,12,4.5486403368609,1,0,0,0,12,5.68580042107613,1.25
ItRomLR-100,"['Konya Plain', 'Latium', 'Paris Basin']",Roman Republic,-100,0,25000000,3500000,400000,3,7,4,7,2200,,0,0,1,0,0,0.1,none,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,24.5,27,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.1,,0,0,1,-49,"['36S', '33T', '31U']","['Southwest Asia', 'Europe']",Rome,unitary state,Greek,Indo-European,Middle Roman Republic,continuity,Roman Empire - Principate,Roman,,vassalage,0,0,1,1,Roman Religion,tribal assembly,yearly,yearly,yearly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,Spectacles,monthly,monthly,monthly,,7.39794000867204,6.54406804435028,5.60205999132796,6,0.281818181818182,1,4,1,5,ItRomLR,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,43.6271816875727,62.8824900737123,0,38.5917221837484,55.6245783769773,0,33.0365059435266,47.6175099262877,0,35.3832404451228,51,0,1.66194008151334,2.39545454545454,0,5.8972067408538,8.5,0,23.5888269634152,34,0,5.8972067408538,8.5,0,29.486033704269,42.5
FrTeneC-100,['Paris Basin'],La Tene C2-D,-100,0,70000,15000,8000,3,4,2,4,18,,0.1,,1,,0.1,0.1,land,0.1,0.1,0.1,1,1,1,0.1,1,1,0.1,1,0.1,1,,0.1,1,1,,,,1,1,1,1,1,1,1,1,,0.1,0.1,,0.1,,1,1,1,1,1,,,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,,1,1,0.1,,1,,,0.1,0.1,1,-125,['31U'],['Europe'],,confederation,Gaulish,Celtic,La Tène B2-C1,continuity,Late Roman Republic,La Tene,,alliance,,,1,,Celtic Religion,consecration of weapons,,,,initiation hunt,,,once in a lifetime,feast,,,,sanctuary rituals,,,,sanctuary rituals,,,,,4.84509804001426,4.17609125905568,3.90308998699194,3.33333333333333,0.327272727272727,0.688888888888889,4,0,5,FrTeneC,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,5.50965209521364,1.21127451000356,0,4.74888428783823,1.04402281476392,0,4.43843813830736,0.975772496747986,0,3.79053361405075,0.833333333333333,0,0.372161482106801,0.081818181818182,0,0.783376946903822,0.172222222222222,0,4.5486403368609,1,0,0,0,0,5.68580042107613,1.25
ItRomPr+0,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Principate,0,100,50000000,4500000,900000,8,9,4,7,3052,,1,1,1,1,0,0.1,state salary,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,96000,189,48,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,13,1,1,1,116,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Rome,unitary state,Latin,Indo-European,Ptolemaic Empire,cultural assimilation,Roman Empire Dominate,Greco-Roman,17000000,none,0,0,1,1,Roman Religion,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.69897000433602,6.65321251377534,5.95424250943933,6.66666666666667,0.645454545454545,1,4,1,5,ItRomPr,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",21.4895366294821,74.1673024679493,40.4195925227641,16.0866100563682,64.0930961693333,34.9293656973206,15.0053950318867,57.3596344597258,31.2597731745564,16,64.222705484135,35,1.23636363636364,6.21792557641852,3.38863636363636,2.78888888888889,9.63340582262025,5.25,16,38.533623290481,21,0,9.63340582262025,5.25,17,48.1670291131013,26.25
ItRomLR+0,"['Konya Plain', 'Latium', 'Paris Basin']",Roman Republic,0,100,25000000,3500000,400000,3,7,4,7,2200,,0,0,1,0,0,0.1,none,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,24.5,27,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0.1,,0,0,1,-49,"['36S', '33T', '31U']","['Southwest Asia', 'Europe']",Rome,unitary state,Greek,Indo-European,Middle Roman Republic,continuity,Roman Empire - Principate,Roman,,vassalage,0,0,1,1,Roman Religion,tribal assembly,yearly,yearly,yearly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,Spectacles,monthly,monthly,monthly,,7.39794000867204,6.54406804435028,5.60205999132796,6,0.281818181818182,1,4,1,5,ItRomLR,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,71.2673583549365,55.4845500650403,0,63.0416632020671,49.0805103326271,0,53.9669173391267,42.0154499349597,0,57.8004349357215,45,0,2.71486891364752,2.11363636363636,0,9.63340582262025,7.5,0,38.533623290481,30,0,9.63340582262025,7.5,0,48.1670291131013,37.5
FrTeneC+0,['Paris Basin'],La Tene C2-D,0,100,70000,15000,8000,3,4,2,4,18,,0.1,,1,,0.1,0.1,land,0.1,0.1,0.1,1,1,1,0.1,1,1,0.1,1,0.1,1,,0.1,1,1,,,,1,1,1,1,1,1,1,1,,0.1,0.1,,0.1,,1,1,1,1,1,,,1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,,1,1,0.1,,1,,,0.1,0.1,1,-125,['31U'],['Europe'],,confederation,Gaulish,Celtic,La Tène B2-C1,continuity,Late Roman Republic,La Tene,,alliance,,,1,,Celtic Religion,consecration of weapons,,,,initiation hunt,,,once in a lifetime,feast,,,,sanctuary rituals,,,,sanctuary rituals,,,,,4.84509804001426,4.17609125905568,3.90308998699194,3.33333333333333,0.327272727272727,0.688888888888889,4,0,5,FrTeneC,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0.334438224283383,0,0,0.288259294980093,0,0,0.269415081735683,0,0,0.230087001694878,0,0,0.022590360166406,0,0,0.047551313683608,0,0,0.276104402033853,0,0,0,0,0,0.345130502542317,0
ItRomPr+100,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Principate,100,200,50000000,5800000,1000000,8,9,4,7,3052,,1,1,1,1,0,0.1,state salary,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,96000,189,48,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,13,1,1,1,116,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Rome,unitary state,Latin,Indo-European,Ptolemaic Empire,cultural assimilation,Roman Empire Dominate,Greco-Roman,17000000,none,0,0,1,1,Roman Religion,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.69897000433602,6.76342799356294,6,6.66666666666667,0.645454545454545,1,4,1,5,ItRomPr,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",29.1885066338181,33.0442101659544,34.6453650195121,22.7398225701436,29.0288357969603,30.4354259710332,20.959637541326,25.7521799518721,27,22.6666666666667,28.6135332798579,30,1.88181818181818,2.77031026754987,2.90454545454545,3.78888888888889,4.29202999197868,4.5,20,17.1681199679147,18,1,4.29202999197868,4.5,22,21.4601499598934,22.5
ItRomPr+200,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Principate,200,300,55000000,5000000,1000000,8,9,4,7,3052,,1,1,1,1,0,0.1,state salary,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,96000,189,48,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,13,1,1,1,116,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Rome,unitary state,Latin,Indo-European,Ptolemaic Empire,cultural assimilation,Roman Empire Dominate,Greco-Roman,17000000,none,0,0,1,1,Roman Religion,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.74036268949424,6.69897000433602,6,6.66666666666667,0.645454545454545,1,4,1,5,ItRomPr,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",36.8874766381541,33.1954177342868,30.961450757977,29.5032505637065,28.7292878388262,26.7958800173441,26.959637541326,25.7316762011749,24,29.3333333333333,28.5907513346387,26.6666666666667,2.52727272727273,2.76810456103548,2.58181818181818,4.78888888888889,4.28861270019581,4,24,17.1544508007832,16,2,4.28861270019581,4,27,21.4430635009791,20
ItRomPr+300,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Principate,300,400,55000000,5000000,1000000,8,9,4,7,3052,,1,1,1,1,0,0.1,state salary,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,96000,189,48,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,13,1,1,1,116,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Rome,unitary state,Latin,Indo-European,Ptolemaic Empire,cultural assimilation,Roman Empire Dominate,Greco-Roman,17000000,none,0,0,1,1,Roman Religion,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.74036268949424,6.69897000433602,6,6.66666666666667,0.645454545454545,1,4,1,5,ItRomPr,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",44.6278393276484,66.1218785233355,44.5070854645919,36.2022205680425,57.225804348855,38.5190775249321,32.959637541326,51.2548684157248,34.5,36,56.9498537952498,38.3333333333333,3.17272727272727,5.51378129926736,3.71136363636364,5.78888888888889,8.54247806928746,5.75,28,34.1699122771499,23,3,8.54247806928746,5.75,32,42.7123903464373,28.75
TrRomDm+300,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Dominate,300,400,40000000,4000000,800000,8,6,5,7,2580,,1,1,1,1,0,0.1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,190,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,0.1,1,0,1,1,1,46,1,1,1,393,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Constantinople,unitary state,Greek,Indo-European,Roman Empire (Principate),continuity,Ostrogothic Kingdom,Greco-Roman,17000000,vassalage,0,0,1,1,Christianity,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.60205999132796,6.60205999132796,5.90308998699194,6,0.827272727272727,1,4,1,5,TrRomDm,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,64.9404307573268,43.7118449501358,0,56.3979526880393,37.9618449501358,0,50.4270167549091,33.9427674252037,0,51.2548684157248,34.5,0,7.0669591300469,4.75681818181818,0,8.54247806928746,5.75,0,34.1699122771499,23,0,8.54247806928746,5.75,0,42.7123903464373,28.75
TrRomDm+400,"['Konya Plain', 'Latium', 'Paris Basin', 'Upper Egypt']",Roman Empire-Dominate,400,500,40000000,4000000,800000,8,6,5,7,2580,,1,1,1,1,0,0.1,state salary,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,190,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,1,1,1,1,1,1,0.1,1,0,1,1,1,46,1,1,1,393,"['36S', '33T', '31U', '36R']","['Southwest Asia', 'Europe', 'Africa']",Constantinople,unitary state,Greek,Indo-European,Roman Empire (Principate),continuity,Ostrogothic Kingdom,Greco-Roman,17000000,vassalage,moralizing,1,1,1,Christianity,ludi,weekly,,weekly,dies sanguinis,yearly,yearly,yearly,Triumph,once per generation,once per generation,once per generation,sacrifice to Vesta,not applicable,daily,daily,votum pro salute domini,yearly,yearly,yearly,,7.60205999132796,6.60205999132796,5.90308998699194,6,0.827272727272727,1,4,1,5,TrRomDm,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",52.3682020171426,47.6323031787059,55.1149349371277,42.9011905723786,41.3665931957484,47.8649349371277,38.959637541326,36.9870498617923,42.7974024056916,42.6666666666667,37.5942598977454,43.5,3.81818181818182,5.18345098590126,5.99772727272727,6.78888888888889,6.26570998295757,7.25,32,25.0628399318303,29,4,6.26570998295757,7.25,37,31.3285499147878,36.25
FrMervE+500,['Paris Basin'],Merovingian Kingdoms,500,600,1250000,200000,20000,4,4,5,4,450,,0.1,1,1,1,0.1,0.1,governed population,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,,0,1,1,1,1,1,,1,1,1,1,1,1,1,0.1,1,1,,,,,1,542,['31U'],['Europe'],Paris,quasipolity,Germanic,Indo-European,Roman Late Antiquity,elite migration,Middle Merovingian Kingdoms,,,none,moralizing,1,1,0,Christianity,pilgrimage,daily,daily,once in a lifetime,medieval duel,,not applicable,,Kalends,yearly,yearly,yearly,Mass,not applicable,daily,daily,Mass,not applicable,daily,daily,,6.09691001300806,5.30102999566398,4.30102999566398,4.33333333333333,0.672727272727273,1,4,0.888888888888889,5,FrMervE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",59.9702620084706,0.012015926684936,24.3876400520322,49.5032505637065,0.01044738853725,21.2041199826559,44.862727528318,0.008476566160128,17.2041199826559,48.6666666666667,0.008540230300862,17.3333333333333,4.64545454545455,0.001325825962791,2.69090909090909,7.78888888888889,0.001970822377122,4,36,0.007883289508488,16,5,0.001751842112997,3.55555555555556,42,0.00985411188561,20
FrMervE+600,['Paris Basin'],Merovingian Kingdoms,600,700,1250000,200000,20000,4,4,5,4,725,,0.1,1,1,1,0.1,0.1,governed population,0.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,1,,0,1,1,1,1,1,,1,1,1,1,1,1,1,0.1,1,1,,,,,1,542,['31U'],['Europe'],Paris,quasipolity,Germanic,Indo-European,Roman Late Antiquity,elite migration,Middle Merovingian Kingdoms,,,none,moralizing,1,1,0,Christianity,pilgrimage,daily,daily,once in a lifetime,medieval duel,,not applicable,,Kalends,yearly,yearly,yearly,Mass,not applicable,daily,daily,Mass,not applicable,daily,daily,,6.09691001300806,5.30102999566398,4.30102999566398,4.33333333333333,0.672727272727273,1,4,0.888888888888889,5,FrMervE,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",66.0671720214786,6.14604065322202,28.9603225617883,54.8042805593705,5.34374720764919,25.1798924794039,49.163757523982,4.33568892236875,20.4298924794039,53,4.36825256954856,20.5833333333333,5.31818181818182,0.678148301006839,3.19545454545455,8.78888888888889,1.00805828528044,4.75,40,4.03223314112175,19,5.88888888888889,0.896051809138166,4.22222222222222,47,5.04029142640218,23.75
